frame,score
0,0.10233313
1,0.10233313
2,0.10233313
3,0.10233313
4,0.10233313
5,0.10233313
6,0.10812321
7,0.11391329
8,0.119703375
9,0.12549345
10,0.13128354
11,0.13681956
12,0.14235559
13,0.14789161
14,0.15342765
15,0.15896367
16,0.15624277
17,0.15352188
18,0.150801
19,0.14808011
20,0.14535922
21,0.14445874
22,0.14355826
23,0.14265779
24,0.14175731
25,0.14085683
26,0.1404465
27,0.14003615
28,0.13962582
29,0.13921547
30,0.13880514
31,0.13848628
32,0.13816743
33,0.13784856
34,0.1375297
35,0.13721085
36,0.13736568
37,0.13752052
38,0.13767537
39,0.13783021
40,0.13798505
41,0.13794753
42,0.13791001
43,0.13787249
44,0.13783497
45,0.13779745
46,0.13782668
47,0.13785592
48,0.13788517
49,0.1379144
50,0.13794364
51,0.13806874
52,0.13819383
53,0.13831891
54,0.138444
55,0.1385691
56,0.13867186
57,0.13877463
58,0.13887739
59,0.13898017
60,0.13908292
61,0.13887048
62,0.13865803
63,0.1384456
64,0.13823316
65,0.13802071
66,0.13796864
67,0.13791658
68,0.13786452
69,0.13781245
70,0.13776039
71,0.13758372
72,0.13740706
73,0.1372304
74,0.13705374
75,0.13687707
76,0.13658985
77,0.13630262
78,0.1360154
79,0.13572817
80,0.13544095
81,0.13540377
82,0.13536657
83,0.1353294
84,0.1352922
85,0.13525502
86,0.1354316
87,0.13560817
88,0.13578475
89,0.13596131
90,0.13613789
91,0.13708135
92,0.1380248
93,0.13896827
94,0.13991173
95,0.1408552
96,0.14213718
97,0.14341918
98,0.14470117
99,0.14598316
100,0.14726515
101,0.14923023
102,0.1511953
103,0.15316038
104,0.15512545
105,0.15709053
106,0.15737465
107,0.15765879
108,0.1579429
109,0.15822704
110,0.15851116
111,0.15858771
112,0.15866427
113,0.15874082
114,0.15881738
115,0.15889393
116,0.15829296
117,0.15769202
118,0.15709105
119,0.1564901
120,0.15588914
121,0.15558825
122,0.15528737
123,0.1549865
124,0.15468562
125,0.15438473
126,0.15351887
127,0.15265302
128,0.15178716
129,0.15092131
130,0.15005545
131,0.15062176
132,0.15118806
133,0.15175436
134,0.15232067
135,0.15288697
136,0.15332071
137,0.15375444
138,0.15418819
139,0.15462191
140,0.15505566
141,0.15576962
142,0.15648356
143,0.15719752
144,0.15791146
145,0.15862542
146,0.15879323
147,0.15896101
148,0.15912881
149,0.1592966
150,0.1594644
151,0.159592
152,0.1597196
153,0.15984721
154,0.15997481
155,0.16010241
156,0.16120318
157,0.16230395
