frame,score
0,0.08651985
1,0.08651985
2,0.08651985
3,0.08651985
4,0.08651985
5,0.08651985
6,0.09221322
7,0.09790658
8,0.10359995
9,0.10929331
10,0.11498668
11,0.12027223
12,0.12555777
13,0.13084331
14,0.13612886
15,0.1414144
16,0.14144546
17,0.14147651
18,0.14150758
19,0.14153863
20,0.14156969
21,0.1416188
22,0.14166792
23,0.14171703
24,0.14176615
25,0.14181526
26,0.14201275
27,0.14221023
28,0.1424077
29,0.14260519
30,0.14280267
31,0.14321126
32,0.14361985
33,0.14402843
34,0.14443702
35,0.1448456
36,0.145698
37,0.14655037
38,0.14740276
39,0.14825514
40,0.14910753
41,0.149455
42,0.14980248
43,0.15014994
44,0.15049742
45,0.15084489
46,0.15107866
47,0.15131241
48,0.15154618
49,0.15177993
50,0.1520137
51,0.15200262
52,0.15199153
53,0.15198044
54,0.15196936
55,0.15195827
56,0.15151186
57,0.15106545
58,0.15061903
59,0.15017262
60,0.14972621
61,0.14923127
62,0.14873634
63,0.1482414
64,0.14774647
65,0.14725153
66,0.14693685
67,0.14662217
68,0.14630747
69,0.14599279
70,0.1456781
71,0.14528905
72,0.1449
73,0.14451092
74,0.14412187
75,0.14373282
76,0.14345452
77,0.14317623
78,0.14289793
79,0.14261964
80,0.14234135
81,0.14250219
82,0.14266303
83,0.14282386
84,0.1429847
85,0.14314555
86,0.14327307
87,0.14340061
88,0.14352813
89,0.14365567
90,0.1437832
91,0.14396453
92,0.14414588
93,0.14432721
94,0.14450856
95,0.14468989
96,0.14464425
97,0.14459862
98,0.14455298
99,0.14450735
100,0.1444617
101,0.14421082
102,0.14395992
103,0.14370902
104,0.14345813
105,0.14320724
106,0.14310853
107,0.14300981
108,0.1429111
109,0.14281239
110,0.14271368
111,0.14268118
112,0.14264868
113,0.14261617
114,0.14258367
115,0.14255117
116,0.14251763
117,0.14248408
118,0.14245054
119,0.142417
120,0.14238346
121,0.1426781
122,0.14297274
123,0.1432674
124,0.14356203
125,0.14385667
126,0.14436035
127,0.14486402
128,0.14536768
129,0.14587136
130,0.14637503
131,0.14655946
132,0.1467439
133,0.14692833
134,0.14711276
135,0.14729719
136,0.14757773
137,0.14785828
138,0.14813884
139,0.14841938
140,0.14869992
141,0.14869405
142,0.1486882
143,0.14868233
144,0.14867647
145,0.1486706
146,0.14853036
147,0.14839014
148,0.14824991
149,0.14810969
150,0.14796945
151,0.14850871
152,0.14904797
153,0.14958721
154,0.15012647
155,0.15066573
156,0.151199
157,0.15173228
158,0.15226555
159,0.15279883
160,0.1533321
161,0.15352051
162,0.15370893
163,0.15389735
164,0.15408577
165,0.15427418
166,0.15461195
167,0.15494972
168,0.15528749
169,0.15562527
170,0.15596303
171,0.15614597
172,0.15632892
173,0.15651184
174,0.15669478
175,0.15687773
176,0.15613523
177,0.15539274
178,0.15465026
179,0.15390776
180,0.15316527
181,0.1525396
182,0.15191393
183,0.15128824
184,0.15066257
185,0.1500369
186,0.1493687
187,0.14870049
188,0.1480323
189,0.14736408
190,0.14669588
191,0.14604709
192,0.1453983
193,0.1447495
194,0.14410073
195,0.14345193
196,0.14302802
197,0.14260413
198,0.14218022
199,0.14175633
200,0.14133242
201,0.14110121
202,0.14087
203,0.14063881
204,0.1404076
205,0.1401764
206,0.13977906
207,0.13938172
208,0.1389844
209,0.13858706
210,0.13818972
211,0.13806416
212,0.1379386
213,0.13781305
214,0.13768749
215,0.13756193
216,0.13761136
217,0.13766077
218,0.1377102
219,0.13775961
220,0.13780904
221,0.13781743
222,0.13782582
223,0.13783422
224,0.13784261
225,0.137851
226,0.13799158
227,0.13813217
228,0.13827275
229,0.13841334
230,0.13855392
231,0.13875541
232,0.1389569
233,0.13915841
234,0.1393599
235,0.1395614
236,0.13945848
237,0.13935556
238,0.13925263
239,0.13914971
240,0.13904679
241,0.1389311
242,0.13881542
243,0.13869973
244,0.13858405
245,0.13846835
246,0.13836712
247,0.13826588
248,0.13816464
249,0.1380634
250,0.13796216
251,0.1376893
252,0.13741645
253,0.13714358
254,0.13687073
255,0.13659787
256,0.13656321
257,0.13652855
258,0.13649388
259,0.13645922
260,0.13642456
261,0.13664705
262,0.13686952
263,0.13709201
264,0.13731448
265,0.13753697
266,0.1383228
267,0.13910861
268,0.13989444
269,0.14068025
270,0.14146608
271,0.14282829
272,0.1441905
273,0.14555271
274,0.14691493
275,0.14827713
276,0.14959809
277,0.15091905
278,0.15224
279,0.15356095
280,0.15488191
281,0.15549003
282,0.15609814
283,0.15670626
284,0.15731438
285,0.15792249
286,0.15836138
287,0.15880026
288,0.15923913
289,0.15967801
290,0.1601169
291,0.15954708
292,0.15897726
293,0.15840743
294,0.15783761
295,0.1572678
296,0.15593304
297,0.15459828
298,0.15326352
299,0.15192877
300,0.15059401
301,0.14944085
