frame,score
0,0.09063159
1,0.09063159
2,0.09063159
3,0.09063159
4,0.09063159
5,0.09063159
6,0.09649468
7,0.102357775
8,0.108220875
9,0.11408397
10,0.11994706
11,0.12605543
12,0.13216382
13,0.1382722
14,0.14438058
15,0.15048896
16,0.15221657
17,0.15394416
18,0.15567178
19,0.15739937
20,0.15912698
21,0.1606154
22,0.1621038
23,0.16359222
24,0.16508062
25,0.16656904
26,0.1670705
27,0.16757195
28,0.16807339
29,0.16857484
30,0.1690763
31,0.16875395
32,0.1684316
33,0.16810925
34,0.1677869
35,0.16746455
36,0.16675667
37,0.16604878
38,0.1653409
39,0.164633
40,0.16392513
41,0.1611838
42,0.15844247
43,0.15570115
44,0.15295981
45,0.15021849
46,0.14829801
47,0.14637752
48,0.14445704
49,0.14253655
50,0.14061607
51,0.14005995
52,0.1395038
53,0.13894768
54,0.13839154
55,0.13783541
56,0.13771042
57,0.13758543
58,0.13746043
59,0.13733543
60,0.13721044
61,0.13720645
62,0.13720244
63,0.13719845
64,0.13719444
65,0.13719045
66,0.1371182
67,0.13704595
68,0.13697371
69,0.13690145
70,0.13682921
71,0.13695599
72,0.13708279
73,0.13720956
74,0.13733636
75,0.13746314
76,0.13693964
77,0.13641614
78,0.13589264
79,0.13536914
80,0.13484564
81,0.13480227
82,0.13475889
83,0.13471551
84,0.13467214
85,0.13462876
86,0.13491496
87,0.13520117
88,0.13548739
89,0.1357736
90,0.1360598
91,0.13559754
92,0.13513528
93,0.13467301
94,0.13421075
95,0.13374849
96,0.13321845
97,0.13268842
98,0.1321584
99,0.13162836
100,0.13109833
101,0.13120548
102,0.13131265
103,0.13141981
104,0.13152698
105,0.13163413
106,0.13163987
107,0.13164562
108,0.13165136
109,0.13165711
110,0.13166285
111,0.13123205
112,0.13080126
113,0.13037048
114,0.12993969
115,0.1295089
116,0.13009897
117,0.13068904
118,0.13127911
119,0.13186918
120,0.13245925
121,0.13316542
122,0.13387159
123,0.13457775
124,0.13528392
125,0.13599008
126,0.1359848
127,0.13597949
128,0.1359742
129,0.1359689
130,0.1359636
131,0.13539635
132,0.13482909
133,0.13426185
134,0.13369459
135,0.13312733
136,0.13269213
137,0.13225694
138,0.13182174
139,0.13138655
140,0.13095134
141,0.13013916
142,0.12932697
143,0.12851478
144,0.1277026
145,0.1268904
146,0.1263283
147,0.1257662
148,0.1252041
149,0.124642
150,0.1240799
151,0.123585954
152,0.12309202
153,0.122598074
154,0.12210414
155,0.121610194
156,0.1213973
157,0.12118441
158,0.120971516
159,0.12075862
160,0.12054573
161,0.12064139
162,0.12073704
163,0.1208327
164,0.12092835
165,0.121024005
166,0.12145992
167,0.12189584
168,0.12233177
169,0.12276769
170,0.123203605
171,0.12503587
172,0.12686813
173,0.12870039
174,0.13053265
175,0.13236491
176,0.13322659
177,0.13408828
178,0.13494995
179,0.13581164
180,0.13667332
181,0.1376311
182,0.13858889
183,0.13954669
184,0.14050448
185,0.14146227
186,0.14209384
187,0.14272542
188,0.143357
189,0.14398858
190,0.14462015
191,0.14519921
192,0.14577828
193,0.14635734
194,0.14693642
195,0.14751548
196,0.14583996
197,0.14416444
