frame,score
0,0.062469732
1,0.062469732
2,0.062469732
3,0.062469732
4,0.062469732
5,0.062469732
6,0.06702204
7,0.07157435
8,0.076126665
9,0.08067897
10,0.08523128
11,0.08969994
12,0.094168596
13,0.09863725
14,0.10310591
15,0.10757457
16,0.10875162
17,0.10992867
18,0.111105725
19,0.112282775
20,0.113459826
21,0.11427595
22,0.11509207
23,0.1159082
24,0.11672432
25,0.11754044
26,0.118060865
27,0.11858129
28,0.1191017
29,0.119622126
30,0.12014255
31,0.12084999
32,0.12155743
33,0.12226486
34,0.1229723
35,0.12367974
36,0.124763414
37,0.12584709
38,0.12693076
39,0.12801443
40,0.1290981
41,0.12873587
42,0.12837362
43,0.12801139
44,0.12764914
45,0.12728691
46,0.12591432
47,0.12454173
48,0.12316915
49,0.121796556
50,0.120423965
51,0.11910996
52,0.11779595
53,0.11648194
54,0.11516793
55,0.113853924
56,0.112609796
57,0.11136567
58,0.11012154
59,0.10887741
60,0.107633285
61,0.10677133
62,0.10590937
63,0.10504741
64,0.104185455
65,0.1033235
66,0.103711665
67,0.104099825
68,0.10448799
69,0.10487615
70,0.10526432
71,0.106729314
72,0.10819431
73,0.10965929
74,0.111124285
75,0.11258928
76,0.11409015
77,0.11559103
78,0.1170919
79,0.11859278
80,0.12009365
81,0.122381076
82,0.1246685
83,0.12695593
84,0.12924334
85,0.13153078
86,0.13287553
87,0.13422029
88,0.13556506
89,0.13690981
90,0.13825457
91,0.13971238
92,0.1411702
93,0.14262801
94,0.14408584
95,0.14554365
96,0.14652355
97,0.14750345
98,0.14848335
99,0.14946325
100,0.15044315
101,0.15131117
102,0.15217918
103,0.1530472
104,0.15391521
105,0.15478323
106,0.15378617
107,0.15278912
108,0.15179205
109,0.150795
110,0.14979793
111,0.14867543
112,0.14755292
113,0.14643043
114,0.14530793
115,0.14418542
116,0.14299874
117,0.14181206
118,0.14062536
119,0.13943867
120,0.13825199
121,0.13742933
122,0.13660666
123,0.135784
124,0.13496134
125,0.13413867
126,0.13373056
127,0.13332245
128,0.13291435
129,0.13250624
130,0.13209812
131,0.13257594
132,0.13305376
133,0.13353157
134,0.13400939
135,0.13448721
136,0.1350103
137,0.1355334
138,0.1360565
139,0.1365796
140,0.1371027
141,0.137041
142,0.1369793
143,0.1369176
144,0.1368559
145,0.13679421
146,0.13664433
147,0.13649447
148,0.1363446
149,0.13619474
150,0.13604486
151,0.13589232
152,0.13573976
153,0.13558722
154,0.13543466
155,0.13528211
156,0.1353268
157,0.13537149
158,0.1354162
159,0.13546088
160,0.13550557
161,0.13570067
162,0.13589579
163,0.13609089
164,0.136286
165,0.1364811
166,0.13690074
167,0.13732037
168,0.13774
169,0.13815963
170,0.13857926
171,0.1388854
172,0.13919151
173,0.13949764
174,0.13980375
175,0.14010988
176,0.14026184
177,0.1404138
178,0.14056577
179,0.14071773
180,0.14086969
181,0.14070863
182,0.14054756
183,0.14038649
184,0.14022543
185,0.14006436
186,0.13942693
187,0.1387895
188,0.13815208
189,0.13751465
190,0.13687722
191,0.13618731
192,0.13549742
193,0.13480751
194,0.13411762
195,0.13342771
196,0.13240942
197,0.13139114
198,0.13037285
199,0.12935457
200,0.12833628
201,0.12717123
202,0.1260062
203,0.12484115
204,0.12367611
205,0.12251107
206,0.12117904
207,0.11984701
208,0.11851497
209,0.11718294
210,0.11585091
211,0.115121424
212,0.11439194
213,0.113662444
214,0.11293296
215,0.11220347
216,0.10742924
217,0.102655016
218,0.097880796
219,0.09310657
220,0.08833234
221,0.08383163
222,0.07933091
223,0.074830204
224,0.07032949
225,0.06582878
226,0.06582878
227,0.06582878
228,0.06582878
229,0.06582878
230,0.06582878
