frame,score
0,0.09605391
1,0.09605391
2,0.09605391
3,0.09605391
4,0.09605391
5,0.09605391
6,0.1019782
7,0.107902475
8,0.11382676
9,0.119751036
10,0.12567532
11,0.13085182
12,0.13602832
13,0.14120482
14,0.14638132
15,0.15155782
16,0.14945644
17,0.14735506
18,0.14525367
19,0.1431523
20,0.14105092
21,0.13867958
22,0.13630824
23,0.13393691
24,0.13156557
25,0.12919423
26,0.12656312
27,0.123932
28,0.12130088
29,0.11866976
30,0.11603865
31,0.11421563
32,0.112392604
33,0.11056959
34,0.108746566
35,0.10692354
36,0.10635231
37,0.10578108
38,0.10520984
39,0.104638614
40,0.10406738
41,0.10464225
42,0.10521712
43,0.105791986
44,0.10636686
45,0.10694173
46,0.1075508
47,0.10815987
48,0.10876893
49,0.109378
50,0.10998707
51,0.11194299
52,0.11389892
53,0.11585484
54,0.11781076
55,0.11976668
56,0.12021773
57,0.120668784
58,0.12111984
59,0.12157089
60,0.12202194
61,0.12232384
62,0.122625746
63,0.12292764
64,0.12322955
65,0.123531446
66,0.1239821
67,0.12443276
68,0.12488341
69,0.12533407
70,0.12578472
71,0.12685964
72,0.12793455
73,0.12900947
74,0.13008438
75,0.13115929
76,0.13210815
77,0.13305701
78,0.13400586
79,0.13495472
80,0.13590358
81,0.13812889
82,0.1403542
83,0.1425795
84,0.1448048
85,0.14703012
86,0.1486791
87,0.15032811
88,0.1519771
89,0.15362611
90,0.1552751
91,0.15640445
92,0.1575338
93,0.15866315
94,0.1597925
95,0.16092184
96,0.16142283
97,0.16192383
98,0.16242482
99,0.16292581
100,0.1634268
101,0.16300927
102,0.16259173
103,0.1621742
104,0.16175665
105,0.16133912
106,0.16090001
107,0.1604609
108,0.16002178
109,0.15958267
110,0.15914357
111,0.15927286
112,0.15940216
113,0.15953147
114,0.15966077
115,0.15979007
116,0.16087133
117,0.16195257
118,0.16303383
119,0.16411507
120,0.16519633
121,0.16624454
122,0.16729274
123,0.16834097
124,0.16938917
125,0.17043738
126,0.17202614
127,0.1736149
128,0.17520365
129,0.17679241
130,0.17838117
131,0.18000916
132,0.18163714
133,0.1832651
134,0.18489309
135,0.18652107
136,0.1873794
137,0.18823776
138,0.1890961
139,0.18995444
140,0.19081278
141,0.190398
142,0.18998319
143,0.1895684
144,0.1891536
145,0.18873881
146,0.18859114
147,0.18844348
148,0.18829581
149,0.18814816
150,0.18800049
151,0.188805
152,0.18960951
153,0.19041403
154,0.19121854
155,0.19202305
156,0.19157454
157,0.19112605
158,0.19067754
159,0.19022904
160,0.18978053
161,0.19045353
162,0.19112654
163,0.19179954
164,0.19247255
165,0.19314554
166,0.19412528
167,0.19510503
168,0.19608477
169,0.19706452
170,0.19804426
171,0.19789982
172,0.1977554
173,0.19761096
174,0.19746654
175,0.1973221
176,0.19554068
177,0.19375928
178,0.19197786
179,0.19019645
180,0.18841504
181,0.18784298
182,0.18727092
183,0.18669885
184,0.1861268
185,0.18555474
186,0.18298616
187,0.18041757
188,0.177849
189,0.1752804
190,0.17271182
191,0.17025416
192,0.1677965
193,0.16533881
194,0.16288115
195,0.16042349
196,0.15865041
197,0.15687734
198,0.15510428
199,0.1533312
200,0.15155813
201,0.1500964
202,0.14863467
203,0.14717293
204,0.1457112
205,0.14424947
206,0.14308631
207,0.14192316
208,0.14076
209,0.13959685
210,0.1384337
211,0.13906589
212,0.13969809
213,0.1403303
214,0.1409625
215,0.1415947
216,0.14251739
217,0.14344007
218,0.14436276
219,0.14528544
