frame,score
0,0.14297469
1,0.14297469
2,0.14297469
3,0.14297469
4,0.14297469
5,0.14297469
6,0.15442614
7,0.1658776
8,0.17732905
9,0.1887805
10,0.20023195
11,0.21184129
12,0.2234506
13,0.23505993
14,0.24666925
15,0.25827858
16,0.26077884
17,0.2632791
18,0.26577938
19,0.26827964
20,0.2707799
21,0.27374312
22,0.2767063
23,0.27966952
24,0.2826327
25,0.28559592
26,0.28762034
27,0.28964472
28,0.29166913
29,0.2936935
30,0.29571792
31,0.29557303
32,0.29542813
33,0.29528326
34,0.29513836
35,0.29499346
36,0.29543683
37,0.29588017
38,0.29632354
39,0.29676688
40,0.29721025
41,0.29531494
42,0.29341963
43,0.2915243
44,0.28962898
45,0.28773367
46,0.2858654
47,0.28399715
48,0.28212887
49,0.28026062
50,0.27839234
51,0.2771834
52,0.27597448
53,0.27476552
54,0.2735566
55,0.27234766
56,0.27106988
57,0.2697921
58,0.26851434
59,0.26723656
60,0.2659588
61,0.2539061
62,0.24185342
63,0.22980072
64,0.21774803
65,0.20569535
66,0.19576095
67,0.18582657
68,0.17589217
69,0.1659578
70,0.1560234
71,0.1560234
72,0.1560234
73,0.1560234
74,0.1560234
