frame,score
0,0.06303546
1,0.06303546
2,0.06303546
3,0.06303546
4,0.06303546
5,0.06303546
6,0.067128286
7,0.07122112
8,0.07531395
9,0.07940678
10,0.08349961
11,0.08719711
12,0.09089461
13,0.09459212
14,0.09828962
15,0.101987116
16,0.101335436
17,0.100683756
18,0.100032076
19,0.0993804
20,0.09872872
21,0.09819146
22,0.09765421
23,0.09711695
24,0.09657969
25,0.09604244
26,0.09604162
27,0.09604079
28,0.09603997
29,0.096039146
30,0.09603833
31,0.09620708
32,0.096375845
33,0.0965446
34,0.096713364
35,0.09688212
36,0.09733357
37,0.097785026
38,0.09823647
39,0.098687924
40,0.09913938
41,0.09947608
42,0.09981278
43,0.10014948
44,0.10048619
45,0.10082289
46,0.10090885
47,0.100994825
48,0.10108079
49,0.10116676
50,0.10125273
51,0.10072293
52,0.100193135
53,0.09966333
54,0.099133536
55,0.09860374
56,0.09785934
57,0.097114936
58,0.09637053
59,0.09562613
60,0.09488173
61,0.0946718
62,0.094461866
63,0.09425194
64,0.094042
65,0.093832076
66,0.09398629
67,0.0941405
68,0.094294704
69,0.09444892
70,0.09460313
71,0.09490313
72,0.095203124
73,0.09550313
74,0.09580313
75,0.096103124
76,0.097002365
77,0.09790161
78,0.09880085
79,0.0997001
80,0.10059934
81,0.10118859
82,0.10177785
83,0.1023671
84,0.10295636
85,0.10354561
86,0.1033456
87,0.10314559
88,0.10294559
89,0.10274558
90,0.10254557
91,0.10170015
92,0.10085474
93,0.10000932
94,0.09916391
95,0.098318495
96,0.097779706
97,0.09724091
98,0.09670212
99,0.096163325
100,0.09562454
101,0.09517248
102,0.09472043
103,0.094268374
104,0.093816325
105,0.09336427
106,0.09336045
107,0.09335662
108,0.093352795
109,0.093348965
110,0.09334514
111,0.093613714
112,0.093882285
113,0.094150856
114,0.09441943
115,0.094688
116,0.0953233
117,0.0959586
118,0.0965939
119,0.0972292
120,0.0978645
121,0.09787436
122,0.097884215
123,0.09789407
124,0.09790393
125,0.09791379
126,0.09732837
127,0.09674296
128,0.09615755
129,0.09557214
130,0.09498672
131,0.0942201
132,0.09345348
133,0.09268687
134,0.09192025
135,0.09115363
136,0.09053414
137,0.08991465
138,0.089295164
139,0.08867567
140,0.088056184
141,0.0877145
142,0.08737282
