frame,score
0,0.08064423
1,0.08064423
2,0.08064423
3,0.08064423
4,0.08064423
5,0.08064423
6,0.086779386
7,0.09291454
8,0.099049695
9,0.105184846
10,0.111320004
11,0.11748144
12,0.123642884
13,0.12980433
14,0.13596576
15,0.1421272
16,0.14293319
17,0.14373918
18,0.14454517
19,0.14535116
20,0.14615715
21,0.14742923
22,0.14870133
23,0.1499734
24,0.1512455
25,0.15251759
26,0.15282474
27,0.1531319
28,0.15343907
29,0.15374623
30,0.15405339
31,0.1536751
32,0.1532968
33,0.1529185
34,0.1525402
35,0.15216191
36,0.15222067
37,0.1522794
38,0.15233816
39,0.1523969
40,0.15245566
41,0.15369694
42,0.15493822
43,0.1561795
44,0.15742078
45,0.15866207
46,0.15956001
47,0.16045794
48,0.16135588
49,0.16225381
50,0.16315176
51,0.16336286
52,0.16357395
53,0.16378506
54,0.16399615
55,0.16420725
56,0.16445954
57,0.16471183
58,0.16496414
59,0.16521643
60,0.16546872
61,0.16593911
62,0.1664095
63,0.16687989
64,0.16735029
65,0.16782068
66,0.16727822
67,0.16673574
68,0.16619328
69,0.1656508
70,0.16510834
71,0.15798306
72,0.15085779
73,0.14373253
74,0.13660726
75,0.12948199
76,0.12337946
77,0.11727694
78,0.11117441
79,0.10507189
80,0.09896936
81,0.09896936
82,0.09896936
83,0.09896936
84,0.09896936
