frame,score
0,0.07964565
1,0.07964565
2,0.07964565
3,0.07964565
4,0.07964565
5,0.07964565
6,0.08536131
7,0.09107698
8,0.09679264
9,0.10250831
10,0.10822397
11,0.11440236
12,0.120580755
13,0.12675914
14,0.13293754
15,0.13911593
16,0.14128737
17,0.1434588
18,0.14563024
19,0.14780167
20,0.14997311
21,0.15029287
22,0.15061264
23,0.15093242
24,0.15125218
25,0.15157194
26,0.1517002
27,0.15182845
28,0.15195672
29,0.15208498
30,0.15221323
31,0.15272215
32,0.15323107
33,0.15373999
34,0.15424891
35,0.15475783
36,0.15437205
37,0.15398629
38,0.15360051
39,0.15321475
40,0.15282898
41,0.1516564
42,0.15048383
43,0.14931127
44,0.1481387
45,0.14696613
46,0.14864044
47,0.15031475
48,0.15198904
49,0.15366335
50,0.15533766
51,0.15644015
52,0.15754265
53,0.15864514
54,0.15974763
55,0.16085012
56,0.16014157
57,0.15943302
58,0.15872449
59,0.15801594
60,0.15730739
61,0.15723114
62,0.1571549
63,0.15707865
64,0.15700242
65,0.15692617
66,0.1565452
67,0.15616423
68,0.15578327
69,0.15540229
70,0.15502132
71,0.15322211
72,0.15142289
73,0.14962368
74,0.14782445
75,0.14602524
76,0.14521919
77,0.14441313
78,0.14360708
79,0.14280102
80,0.14199497
81,0.14276612
82,0.14353727
83,0.14430843
84,0.14507958
85,0.14585073
86,0.14658554
87,0.14732036
88,0.14805517
89,0.14878999
90,0.1495248
91,0.14914858
92,0.14877237
93,0.14839616
94,0.14801995
95,0.14764374
96,0.14772397
97,0.14780422
98,0.14788444
99,0.14796469
100,0.14804491
101,0.1481112
102,0.14817746
103,0.14824374
104,0.14831
105,0.14837629
106,0.14744467
107,0.14651304
108,0.14558144
109,0.14464982
110,0.1437182
111,0.14276117
112,0.14180414
113,0.14084712
114,0.13989009
115,0.13893306
116,0.13875352
117,0.13857397
118,0.13839442
119,0.13821487
120,0.13803533
121,0.13791624
122,0.13779715
123,0.13767804
124,0.13755895
125,0.13743986
126,0.13720055
127,0.13696122
128,0.13672191
129,0.13648258
130,0.13624327
131,0.13639784
132,0.13655241
133,0.136707
134,0.13686156
135,0.13701613
136,0.13718727
137,0.13735841
138,0.13752957
139,0.1377007
140,0.13787185
141,0.13962667
142,0.14138147
143,0.1431363
144,0.1448911
145,0.14664592
146,0.1468309
147,0.14701588
148,0.14720087
149,0.14738585
150,0.14757083
151,0.14753142
152,0.14749199
153,0.14745258
154,0.14741315
155,0.14737374
156,0.14742573
157,0.14747772
158,0.1475297
159,0.1475817
160,0.14763369
161,0.14771582
162,0.14779796
163,0.14788009
164,0.14796223
165,0.14804436
166,0.14810725
167,0.14817014
168,0.14823303
169,0.14829592
170,0.1483588
171,0.14823826
172,0.14811769
173,0.14799714
174,0.14787658
175,0.14775603
176,0.14757164
177,0.14738725
178,0.14720286
179,0.14701848
180,0.14683409
181,0.14637965
182,0.14592522
183,0.14547078
184,0.14501636
185,0.14456192
186,0.14412782
187,0.14369372
188,0.1432596
189,0.1428255
190,0.1423914
191,0.14126189
192,0.14013238
193,0.13900289
194,0.13787338
195,0.13674387
196,0.13715436
197,0.13756484
198,0.13797534
199,0.13838582
200,0.1387963
201,0.13923737
202,0.13967845
203,0.14011951
204,0.14056058
205,0.14100166
206,0.14144535
207,0.14188905
208,0.14233273
209,0.14277643
210,0.14322013
211,0.14358997
212,0.14395982
213,0.14432965
214,0.1446995
215,0.14506935
216,0.14466698
217,0.14426462
218,0.14386228
219,0.14345992
220,0.14305755
221,0.14230569
222,0.14155382
223,0.14080197
224,0.1400501
225,0.13929823
226,0.13874409
227,0.13818993
228,0.13763578
229,0.13708162
230,0.13652748
231,0.13617484
232,0.13582219
233,0.13546956
234,0.1351169
235,0.13476427
236,0.1344635
237,0.13416274
238,0.13386199
239,0.13356122
240,0.13326046
241,0.13298789
242,0.13271533
243,0.13244276
244,0.1321702
245,0.13189763
246,0.13220331
247,0.13250898
248,0.13281466
249,0.13312033
250,0.13342601
251,0.13369037
252,0.13395473
253,0.1342191
254,0.13448346
255,0.13474782
256,0.13556948
257,0.13639115
258,0.13721281
259,0.13803448
260,0.13885614
261,0.13940181
262,0.13994746
263,0.14049312
264,0.14103878
265,0.14158444
266,0.14145859
267,0.14133273
268,0.14120688
269,0.14108102
270,0.14095517
271,0.14106975
272,0.14118436
273,0.14129895
274,0.14141355
275,0.14152814
276,0.14165913
277,0.1417901
278,0.14192109
279,0.14205207
280,0.14218305
281,0.14154205
282,0.14090104
283,0.14026003
284,0.13961902
285,0.13897802
286,0.13957348
287,0.14016895
288,0.1407644
289,0.14135987
290,0.14195533
291,0.14186122
292,0.14176711
293,0.141673
294,0.1415789
295,0.14148478
296,0.14089665
297,0.14030851
298,0.1397204
299,0.13913226
300,0.13854413
301,0.13818443
302,0.13782473
303,0.13746504
304,0.13710535
305,0.13674565
306,0.13658768
307,0.1364297
308,0.13627173
309,0.13611375
310,0.13595578
311,0.13446687
312,0.13297796
313,0.13148907
314,0.13000016
315,0.12851125
316,0.12841861
317,0.12832598
318,0.12823334
319,0.12814072
320,0.12804808
321,0.1280742
322,0.12810032
323,0.12812644
324,0.12815256
325,0.12817869
326,0.12842706
327,0.12867545
328,0.12892382
329,0.1291722
330,0.12942058
331,0.12958644
332,0.12975232
333,0.12991819
334,0.13008407
335,0.13024993
336,0.13076077
337,0.13127162
338,0.13178246
339,0.1322933
340,0.13280414
341,0.13328873
342,0.13377331
343,0.13425788
344,0.13474247
345,0.13522705
346,0.13590269
347,0.13657832
348,0.13725396
349,0.13792959
350,0.13860522
351,0.13839604
352,0.13818687
353,0.13797769
354,0.13776852
355,0.13755934
356,0.13711093
357,0.13666253
358,0.13621412
359,0.13576572
360,0.13531731
361,0.13462466
362,0.13393201
363,0.13323934
364,0.1325467
365,0.13185404
366,0.13145092
367,0.13104782
368,0.1306447
369,0.13024159
370,0.12983847
371,0.12939258
372,0.12894669
373,0.12850082
374,0.12805493
375,0.12760904
376,0.12810819
377,0.12860733
378,0.12910646
379,0.1296056
380,0.13010475
381,0.1305008
382,0.13089684
383,0.13129288
384,0.13168892
385,0.13208497
386,0.13236521
387,0.13264544
388,0.13292569
389,0.13320592
390,0.13348617
391,0.13328207
392,0.13307796
393,0.13287385
394,0.13266975
395,0.13246565
396,0.13238747
397,0.13230929
398,0.13223112
399,0.13215293
400,0.13207476
401,0.13159055
402,0.13110633
403,0.1306221
404,0.13013789
405,0.12965368
406,0.12948802
407,0.12932236
408,0.12915672
409,0.12899107
410,0.12882541
411,0.12896287
412,0.12910034
413,0.12923782
414,0.12937528
415,0.12951274
416,0.13032699
417,0.13114125
418,0.13195549
419,0.13276975
420,0.133584
421,0.13392332
422,0.13426267
423,0.134602
424,0.13494134
425,0.13528067
426,0.1357611
427,0.13624153
428,0.13672197
429,0.1372024
430,0.13768283
431,0.13805704
432,0.13843125
433,0.13880548
434,0.13917969
435,0.1395539
436,0.13970445
437,0.139855
438,0.14000554
439,0.14015609
440,0.14030664
441,0.1397488
442,0.13919097
443,0.13863313
444,0.1380753
445,0.13751747
446,0.13757434
447,0.13763122
448,0.13768809
449,0.13774496
450,0.13780184
451,0.13766617
452,0.13753048
453,0.1373948
454,0.13725911
455,0.13712344
456,0.13765907
457,0.13819471
458,0.13873035
459,0.13926598
460,0.13980162
461,0.13975391
462,0.1397062
463,0.13965848
464,0.13961077
465,0.13956305
466,0.13958669
467,0.13961034
468,0.13963397
469,0.13965762
470,0.13968125
471,0.13989179
472,0.14010231
473,0.14031285
474,0.14052337
475,0.14073391
476,0.13511162
477,0.12948932
478,0.12386703
479,0.11824473
480,0.11262243
481,0.10654329
482,0.10046415
483,0.094385006
484,0.08830587
485,0.08222672
486,0.08222672
487,0.08222672
488,0.08222672
489,0.08222672
