frame,score
0,0.14900886
1,0.14900886
2,0.14900886
3,0.14900886
4,0.14900886
5,0.14900886
6,0.15875478
7,0.16850072
8,0.17824665
9,0.18799259
10,0.19773851
11,0.2070572
12,0.21637589
13,0.22569457
14,0.23501326
15,0.24433194
16,0.24337284
17,0.24241374
18,0.24145466
19,0.24049556
20,0.23953646
21,0.23950668
22,0.23947689
23,0.23944709
24,0.2394173
25,0.23938751
26,0.23905562
27,0.23872371
28,0.23839182
29,0.23805991
30,0.23772801
31,0.23633866
32,0.2349493
33,0.23355994
34,0.23217058
35,0.23078123
36,0.2304532
37,0.23012516
38,0.22979711
39,0.22946908
40,0.22914104
41,0.23071823
42,0.23229541
43,0.2338726
44,0.23544979
45,0.23702697
46,0.23534179
47,0.2336566
48,0.23197143
49,0.23028624
50,0.22860105
51,0.22808264
52,0.22756422
53,0.2270458
54,0.22652738
55,0.22600897
56,0.22678962
57,0.22757028
58,0.22835095
59,0.22913161
60,0.22991227
61,0.22975624
62,0.22960019
63,0.22944416
64,0.22928812
65,0.22913209
66,0.2283268
67,0.22752151
68,0.22671624
69,0.22591095
70,0.22510566
71,0.2257263
72,0.22634695
73,0.22696759
74,0.22758824
75,0.22820888
76,0.22776659
77,0.22732429
78,0.22688201
79,0.22643971
80,0.22599742
81,0.22778672
82,0.22957604
83,0.23136534
84,0.23315465
85,0.23494396
86,0.23523723
87,0.23553051
88,0.23582378
89,0.23611706
90,0.23641033
91,0.23579429
92,0.23517825
93,0.2345622
94,0.23394616
95,0.23333012
96,0.23347044
97,0.23361076
98,0.2337511
99,0.23389143
100,0.23403175
101,0.23250228
102,0.23097283
103,0.22944336
104,0.2279139
105,0.22638443
106,0.2239491
107,0.22151378
108,0.21907844
109,0.21664311
110,0.21420778
111,0.21369943
112,0.21319108
113,0.21268274
114,0.21217439
115,0.21166603
116,0.21189885
117,0.21213166
118,0.21236448
119,0.2125973
120,0.21283011
121,0.21063344
122,0.20843677
123,0.2062401
124,0.20404343
125,0.20184676
126,0.20230274
127,0.20275873
128,0.2032147
129,0.2036707
130,0.20412667
131,0.20361501
132,0.20310335
133,0.2025917
134,0.20208004
135,0.20156838
136,0.20222773
137,0.20288707
138,0.20354643
139,0.20420578
140,0.20486513
141,0.20553371
142,0.2062023
143,0.20687088
144,0.20753947
145,0.20820805
146,0.21005379
147,0.2118995
148,0.21374524
149,0.21559095
150,0.21743669
151,0.21832892
152,0.21922116
153,0.22011338
154,0.22100562
155,0.22189786
156,0.2206356
157,0.21937333
158,0.21811108
159,0.21684882
160,0.21558656
161,0.21358676
162,0.21158698
163,0.20958719
164,0.2075874
165,0.20558761
166,0.20423263
167,0.20287767
168,0.2015227
169,0.20016773
170,0.19881275
171,0.19916956
172,0.19952635
173,0.19988316
174,0.20023996
175,0.20059676
176,0.20116958
177,0.2017424
178,0.20231523
179,0.20288804
180,0.20346086
181,0.20615542
182,0.20884998
183,0.21154456
184,0.21423912
185,0.21693368
186,0.2178964
187,0.2188591
188,0.21982183
189,0.22078453
190,0.22174725
191,0.22215614
192,0.22256503
193,0.2229739
194,0.22338279
195,0.22379167
196,0.22368157
197,0.22357145
198,0.22346134
199,0.22335123
200,0.22324112
201,0.22270416
202,0.22216721
203,0.22163025
204,0.2210933
205,0.22055633
206,0.21977435
207,0.21899237
208,0.21821038
209,0.2174284
210,0.21664642
211,0.21644017
212,0.21623394
213,0.21602769
214,0.21582146
215,0.21561521
216,0.21496814
217,0.21432109
218,0.21367402
219,0.21302697
220,0.2123799
221,0.21236582
222,0.21235174
223,0.21233766
224,0.21232358
225,0.2123095
226,0.21273404
227,0.2131586
228,0.21358314
229,0.21400769
230,0.21443224
231,0.21392219
232,0.21341214
233,0.2129021
234,0.21239205
235,0.211882
236,0.21171272
237,0.21154344
238,0.21137416
239,0.21120489
240,0.21103561
241,0.2105226
242,0.2100096
243,0.20949662
244,0.20898362
245,0.20847061
246,0.2074334
247,0.20639618
248,0.20535897
249,0.20432174
250,0.20328453
251,0.20213315
252,0.20098178
253,0.1998304
254,0.19867903
255,0.19752765
256,0.19722916
257,0.19693066
258,0.19663218
259,0.19633368
260,0.19603519
261,0.19582097
262,0.19560675
263,0.19539255
264,0.19517833
265,0.19496411
266,0.19446084
267,0.19395758
268,0.19345431
269,0.19295105
270,0.19244778
271,0.1922108
272,0.1919738
273,0.19173683
274,0.19149984
275,0.19126286
276,0.19104847
277,0.19083409
278,0.19061969
279,0.19040531
280,0.19019093
281,0.18988036
282,0.18956979
283,0.18925922
284,0.18894865
285,0.18863808
286,0.1888921
287,0.18914613
288,0.18940015
289,0.18965419
290,0.1899082
291,0.19056776
292,0.19122732
293,0.19188689
294,0.19254644
295,0.193206
296,0.19325481
297,0.19330361
298,0.19335243
299,0.19340123
300,0.19345005
301,0.18588777
302,0.17832549
303,0.1707632
304,0.16320091
305,0.15563864
306,0.14812787
307,0.1406171
308,0.13310634
309,0.12559557
310,0.11808481
311,0.11808481
312,0.11808481
313,0.11808481
314,0.11808481
315,0.11808481
316,0.11808481
