frame,score
0,0.08876787
1,0.08876787
2,0.08876787
3,0.08876787
4,0.08876787
5,0.08876787
6,0.09512968
7,0.10149149
8,0.1078533
9,0.114215106
10,0.12057692
11,0.12690577
12,0.13323462
13,0.13956346
14,0.1458923
15,0.15222116
16,0.15227431
17,0.15232746
18,0.15238062
19,0.15243377
20,0.15248692
21,0.15259193
22,0.15269694
23,0.15280196
24,0.15290697
25,0.15301198
26,0.15344988
27,0.15388778
28,0.15432566
29,0.15476356
30,0.15520146
31,0.15552568
32,0.1558499
33,0.15617414
34,0.15649836
35,0.15682258
36,0.15715787
37,0.15749316
38,0.15782844
39,0.15816373
40,0.15849902
41,0.1593091
42,0.16011919
43,0.16092928
44,0.16173936
45,0.16254945
46,0.16345823
47,0.164367
48,0.16527578
49,0.16618456
50,0.16709334
51,0.16694078
52,0.16678824
53,0.16663568
54,0.16648313
55,0.16633058
56,0.16605644
57,0.16578229
58,0.16550815
59,0.165234
60,0.16495986
61,0.16465838
62,0.16435692
63,0.16405544
64,0.16375397
65,0.16345249
66,0.16287938
67,0.16230626
68,0.16173314
69,0.16116002
70,0.16058691
71,0.1598612
72,0.1591355
73,0.1584098
74,0.1576841
75,0.1569584
76,0.15661038
77,0.15626237
78,0.15591437
79,0.15556635
80,0.15521833
81,0.15461563
82,0.15401292
83,0.15341023
84,0.15280752
85,0.15220481
86,0.15207279
87,0.15194078
88,0.15180875
89,0.15167674
90,0.15154472
91,0.15202959
92,0.15251446
93,0.15299931
94,0.15348418
95,0.15396905
96,0.15491174
97,0.15585443
98,0.15679714
99,0.15773983
100,0.15868253
101,0.1597138
102,0.16074507
103,0.16177635
104,0.16280761
105,0.1638389
106,0.16474447
107,0.16565003
108,0.1665556
109,0.16746116
110,0.16836673
111,0.16832265
112,0.16827856
113,0.16823448
114,0.16819039
115,0.16814631
116,0.16730788
117,0.16646945
118,0.16563103
119,0.1647926
120,0.16395417
121,0.16301978
122,0.16208537
123,0.16115098
124,0.16021657
125,0.15928218
126,0.15849571
127,0.15770924
128,0.15692279
129,0.15613632
130,0.15534985
131,0.15484767
132,0.15434548
133,0.1538433
134,0.15334111
135,0.15283893
136,0.15315095
137,0.15346296
138,0.15377498
139,0.15408699
140,0.15439901
141,0.15476818
142,0.15513737
143,0.15550655
144,0.15587574
145,0.15624492
146,0.15656234
147,0.15687977
148,0.15719719
149,0.15751462
150,0.15783204
151,0.15799062
152,0.1581492
153,0.15830776
154,0.15846634
155,0.15862492
156,0.15863244
157,0.15863997
158,0.15864748
159,0.158655
160,0.15866253
161,0.158133
162,0.15760347
163,0.15707394
164,0.15654442
165,0.15601489
166,0.1559539
167,0.1558929
168,0.1558319
169,0.1557709
170,0.1557099
171,0.15557456
172,0.1554392
173,0.15530385
174,0.15516849
175,0.15503314
176,0.15537831
177,0.15572347
178,0.15606864
179,0.1564138
180,0.15675896
181,0.15709838
182,0.1574378
183,0.1577772
184,0.15811662
185,0.15845604
186,0.15906999
187,0.15968394
188,0.16029789
189,0.16091184
190,0.16152579
191,0.16151936
192,0.16151293
193,0.1615065
194,0.16150007
195,0.16149364
196,0.16160896
197,0.16172427
198,0.16183959
199,0.1619549
200,0.16207021
201,0.1620274
202,0.1619846
203,0.16194178
204,0.16189897
205,0.16185616
206,0.16155487
207,0.16125359
208,0.16095231
209,0.16065103
210,0.16034974
211,0.15992565
212,0.15950158
213,0.1590775
214,0.15865342
215,0.15822934
216,0.15767115
217,0.15711297
218,0.1565548
219,0.15599662
220,0.15543844
221,0.1550149
222,0.15459137
223,0.15416783
224,0.1537443
225,0.15332076
226,0.15269148
227,0.15206221
228,0.15143295
229,0.15080367
230,0.1501744
231,0.14960077
232,0.14902717
233,0.14845355
234,0.14787994
235,0.14730632
236,0.1472254
237,0.14714448
238,0.14706355
239,0.14698264
240,0.14690171
241,0.14785413
242,0.14880657
243,0.149759
244,0.15071143
245,0.15166385
246,0.15256457
247,0.1534653
248,0.15436602
249,0.15526675
250,0.15616746
251,0.15735109
252,0.15853472
253,0.15971835
254,0.16090198
255,0.16208561
256,0.1635397
257,0.1649938
258,0.16644788
259,0.16790198
260,0.16935606
261,0.17054172
262,0.17172736
263,0.17291301
264,0.17409866
265,0.17528431
266,0.17564419
267,0.17600407
268,0.17636395
269,0.17672382
270,0.1770837
271,0.17718795
272,0.17729221
273,0.17739646
274,0.17750072
275,0.17760497
276,0.17734614
277,0.17708729
278,0.17682846
279,0.17656961
280,0.17631078
281,0.1753843
282,0.17445782
283,0.17353132
284,0.17260484
285,0.17167836
286,0.17035437
287,0.16903037
288,0.16770639
289,0.16638239
290,0.16505839
291,0.1640799
292,0.16310142
293,0.16212295
294,0.16114447
295,0.16016598
296,0.16030051
297,0.16043504
298,0.16056958
299,0.1607041
300,0.16083863
301,0.16023864
302,0.15963864
303,0.15903866
304,0.15843867
305,0.15783867
306,0.15760347
307,0.15736826
308,0.15713306
309,0.15689784
310,0.15666264
311,0.15708563
312,0.15750861
313,0.15793158
314,0.15835457
315,0.15877755
316,0.15889463
317,0.1590117
318,0.15912877
319,0.15924585
320,0.15936293
321,0.15871005
322,0.15805718
323,0.1574043
324,0.15675144
325,0.15609856
326,0.15679139
327,0.1574842
328,0.15817703
329,0.15886985
330,0.15956268
331,0.16030113
332,0.1610396
333,0.16177806
334,0.16251653
335,0.16325499
336,0.16295528
337,0.16265559
338,0.16235588
339,0.1620562
340,0.16175649
341,0.16149561
342,0.16123472
343,0.16097385
344,0.16071296
345,0.16045208
346,0.15962707
347,0.15880205
348,0.15797704
349,0.15715203
350,0.15632701
351,0.15574487
352,0.15516274
353,0.1545806
354,0.15399846
355,0.15341632
356,0.15340808
357,0.15339983
358,0.15339158
359,0.15338333
360,0.15337509
361,0.15380292
362,0.15423074
363,0.15465857
364,0.1550864
365,0.15551423
366,0.15615302
367,0.15679182
368,0.1574306
369,0.1580694
370,0.1587082
371,0.15955402
372,0.16039984
373,0.16124566
374,0.16209148
375,0.1629373
376,0.16296916
377,0.163001
378,0.16303286
379,0.1630647
380,0.16309656
381,0.16292548
382,0.16275442
383,0.16258334
384,0.16241227
385,0.16224119
386,0.16244754
387,0.16265388
388,0.16286023
389,0.16306657
390,0.16327292
391,0.163668
392,0.1640631
393,0.1644582
394,0.16485329
