frame,score
0,0.11958933
1,0.11958933
2,0.11958933
3,0.11958933
4,0.11958933
5,0.11958933
6,0.12804691
7,0.1365045
8,0.14496207
9,0.15341966
10,0.16187724
11,0.17013367
12,0.17839009
13,0.1866465
14,0.19490293
15,0.20315935
16,0.20266032
17,0.2021613
18,0.20166226
19,0.20116323
20,0.2006642
21,0.19966368
22,0.19866316
23,0.19766264
24,0.19666211
25,0.19566159
26,0.19328722
27,0.19091286
28,0.1885385
29,0.18616414
30,0.18378977
31,0.18197459
32,0.18015942
33,0.17834423
34,0.17652906
35,0.17471388
36,0.17266133
37,0.17060879
38,0.16855626
39,0.16650371
40,0.16445117
41,0.1640449
42,0.16363864
43,0.16323239
44,0.16282612
45,0.16241986
46,0.16150257
47,0.16058528
48,0.15966801
49,0.15875073
50,0.15783344
51,0.15741763
52,0.15700181
53,0.15658599
54,0.15617017
55,0.15575436
56,0.1549421
57,0.15412983
58,0.15331756
59,0.1525053
60,0.15169303
61,0.15350363
62,0.15531422
63,0.1571248
64,0.1589354
65,0.160746
66,0.16288917
67,0.16503234
68,0.1671755
69,0.16931868
70,0.17146185
71,0.17340745
72,0.17535305
73,0.17729867
74,0.17924426
75,0.18118986
76,0.18309784
77,0.18500583
78,0.1869138
79,0.1888218
80,0.19072977
81,0.1932882
82,0.19584665
83,0.19840507
84,0.20096351
85,0.20352195
86,0.2036472
87,0.20377244
88,0.20389767
89,0.20402291
90,0.20414816
91,0.20506333
92,0.2059785
93,0.20689367
94,0.20780884
95,0.208724
96,0.21060133
97,0.21247865
98,0.21435599
99,0.21623331
100,0.21811064
101,0.21917938
102,0.22024812
103,0.22131687
104,0.22238562
105,0.22345436
106,0.22236365
107,0.22127295
108,0.22018225
109,0.21909155
110,0.21800084
111,0.21650852
112,0.2150162
113,0.21352386
114,0.21203154
115,0.21053922
116,0.20897976
117,0.20742029
118,0.20586081
119,0.20430134
120,0.20274188
121,0.19988993
122,0.19703798
123,0.19418605
124,0.1913341
125,0.18848215
126,0.1861092
127,0.18373625
128,0.18136328
129,0.17899033
130,0.17661738
131,0.17674099
132,0.1768646
133,0.17698821
134,0.17711182
135,0.17723542
136,0.18105969
137,0.18488395
138,0.18870823
139,0.1925325
140,0.19635676
141,0.19863015
142,0.20090355
143,0.20317695
144,0.20545034
145,0.20772374
146,0.21025968
147,0.21279562
148,0.21533157
149,0.21786751
150,0.22040345
151,0.223815
152,0.22722653
153,0.23063807
154,0.2340496
155,0.23746115
156,0.24053642
157,0.24361171
158,0.24668698
159,0.24976227
160,0.25283754
161,0.25295243
162,0.2530673
163,0.25318217
164,0.25329706
165,0.25341195
166,0.25379437
167,0.2541768
168,0.25455925
169,0.25494167
170,0.2553241
171,0.25287893
172,0.2504338
173,0.24798864
174,0.24554348
175,0.24309833
176,0.23938227
177,0.2356662
178,0.23195015
179,0.22823408
180,0.22451802
181,0.22131318
182,0.21810834
183,0.2149035
184,0.21169867
185,0.20849383
186,0.2047341
187,0.20097439
188,0.19721466
189,0.19345495
190,0.18969522
191,0.18587299
192,0.18205073
193,0.1782285
194,0.17440625
195,0.17058401
196,0.16957588
197,0.16856775
198,0.16755962
199,0.16655149
200,0.16554336
201,0.16551436
202,0.16548538
203,0.16545638
204,0.1654274
205,0.1653984
206,0.16555597
207,0.16571353
208,0.1658711
209,0.16602866
210,0.16618623
211,0.16623992
212,0.1662936
213,0.1663473
214,0.16640098
215,0.16645467
216,0.16690011
217,0.16734554
218,0.16779098
219,0.1682364
220,0.16868185
221,0.16836323
222,0.16804463
223,0.16772601
224,0.16740741
225,0.16708879
226,0.16687392
227,0.16665903
228,0.16644415
229,0.16622926
230,0.16601439
231,0.16487893
232,0.1637435
233,0.16260804
234,0.1614726
235,0.16033715
236,0.15975922
237,0.15918131
238,0.15860339
239,0.15802547
240,0.15744755
241,0.15803756
242,0.15862757
243,0.1592176
244,0.15980761
245,0.16039762
246,0.16243802
247,0.1644784
248,0.1665188
249,0.1685592
250,0.1705996
251,0.17272967
252,0.17485976
253,0.17698984
254,0.17911993
255,0.18125
256,0.18304463
257,0.18483925
258,0.18663387
259,0.18842849
260,0.19022311
261,0.19221433
262,0.19420552
263,0.19619673
264,0.19818793
265,0.20017914
266,0.20191635
267,0.20365354
268,0.20539075
269,0.20712794
270,0.20886515
271,0.2106483
272,0.21243145
273,0.2142146
274,0.21599774
275,0.21778089
276,0.21924731
277,0.22071375
278,0.22218017
279,0.22364661
280,0.22511303
281,0.22471371
282,0.22431438
283,0.22391506
284,0.22351572
285,0.2231164
286,0.22243436
287,0.22175232
288,0.22107029
289,0.22038825
290,0.21970621
291,0.21799697
292,0.21628775
293,0.21457851
294,0.21286929
295,0.21116005
296,0.20895284
297,0.20674564
298,0.20453843
299,0.20233123
300,0.20012403
301,0.19701071
302,0.1938974
303,0.19078408
304,0.18767077
305,0.18455745
306,0.18384458
307,0.18313171
308,0.18241882
309,0.18170595
310,0.18099308
311,0.18328126
312,0.18556945
313,0.18785763
314,0.19014582
315,0.192434
316,0.19559635
317,0.1987587
318,0.20192105
319,0.2050834
320,0.20824575
321,0.21031238
322,0.212379
323,0.21444562
324,0.21651223
325,0.21857886
326,0.22174859
327,0.22491832
328,0.22808804
329,0.23125777
330,0.2344275
331,0.23786534
332,0.24130319
333,0.24474105
334,0.2481789
335,0.25161675
336,0.25242528
337,0.25323382
338,0.25404233
339,0.25485086
340,0.2556594
341,0.25536516
342,0.25507092
343,0.25477672
344,0.25448248
345,0.25418824
346,0.25162426
347,0.24906027
348,0.2464963
349,0.24393232
350,0.24136834
351,0.23757769
352,0.23378704
353,0.22999638
354,0.22620574
355,0.22241509
356,0.21813984
357,0.2138646
358,0.20958933
359,0.20531408
360,0.20103884
361,0.19648646
362,0.19193408
363,0.1873817
364,0.18282932
365,0.17827694
366,0.17438544
367,0.17049395
368,0.16660243
369,0.16271093
370,0.15881944
371,0.15785928
372,0.15689912
373,0.15593895
374,0.1549788
375,0.15401864
376,0.15401477
377,0.15401088
378,0.154007
379,0.15400311
380,0.15399924
381,0.15400048
382,0.15400171
383,0.15400296
384,0.1540042
385,0.15400544
386,0.15398079
387,0.15395613
388,0.15393148
389,0.15390682
390,0.15388218
391,0.14772254
392,0.14156292
393,0.13540329
394,0.12924367
395,0.12308404
396,0.1169217
397,0.11075936
398,0.10459703
399,0.098434694
400,0.092272356
401,0.092272356
402,0.092272356
403,0.092272356
404,0.092272356
405,0.092272356
406,0.092272356
