frame,score
0,0.13695292
1,0.13695292
2,0.13695292
3,0.13695292
4,0.13695292
5,0.13695292
6,0.14641747
7,0.155882
8,0.16534655
9,0.17481108
10,0.18427563
11,0.19395787
12,0.20364009
13,0.21332233
14,0.22300455
15,0.23268679
16,0.23330995
17,0.23393312
18,0.2345563
19,0.23517947
20,0.23580264
21,0.23701878
22,0.23823492
23,0.23945105
24,0.2406672
25,0.24188334
26,0.24299835
27,0.24411336
28,0.24522835
29,0.24634336
30,0.24745837
31,0.24791996
32,0.24838156
33,0.24884315
34,0.24930474
35,0.24976633
36,0.24919108
37,0.24861583
38,0.24804057
39,0.24746533
40,0.24689007
41,0.24575135
42,0.24461265
43,0.24347393
44,0.24233523
45,0.24119651
46,0.23969805
47,0.23819959
48,0.23670113
49,0.23520267
50,0.23370421
51,0.23220052
52,0.23069681
53,0.22919312
54,0.22768942
55,0.22618572
56,0.22506621
57,0.22394669
58,0.22282718
59,0.22170766
60,0.22058815
61,0.22044754
62,0.22030693
63,0.22016631
64,0.2200257
65,0.2198851
66,0.220226
67,0.22056691
68,0.22090782
69,0.22124873
70,0.22158964
71,0.22184432
72,0.222099
73,0.22235368
74,0.22260837
75,0.22286305
76,0.2228352
77,0.22280736
78,0.22277951
79,0.22275168
80,0.22272383
81,0.22249599
82,0.22226815
83,0.2220403
84,0.22181246
85,0.22158462
86,0.22087975
87,0.22017486
88,0.21947
89,0.21876511
90,0.21806024
91,0.21747454
92,0.21688882
93,0.21630311
94,0.21571739
95,0.21513169
96,0.21460646
97,0.21408124
98,0.213556
99,0.21303079
100,0.21250556
101,0.21225603
102,0.2120065
103,0.21175694
104,0.21150741
105,0.21125787
106,0.2107323
107,0.21020673
108,0.20968115
109,0.20915559
110,0.20863001
111,0.2079279
112,0.20722578
113,0.20652366
114,0.20582154
115,0.20511943
116,0.20424382
117,0.20336823
118,0.20249262
119,0.20161703
120,0.20074143
121,0.19983529
122,0.19892915
123,0.19802299
124,0.19711685
125,0.19621071
126,0.19560255
127,0.19499439
128,0.19438623
129,0.19377807
130,0.1931699
131,0.19301537
132,0.19286083
133,0.1927063
134,0.19255176
135,0.19239722
136,0.19252309
137,0.19264896
138,0.19277483
139,0.1929007
140,0.19302657
141,0.19314106
142,0.19325554
143,0.19337004
144,0.19348453
145,0.19359902
146,0.19464058
147,0.19568215
148,0.19672371
149,0.19776529
150,0.19880685
151,0.19907533
152,0.19934382
153,0.19961229
154,0.19988078
155,0.20014925
156,0.19983786
157,0.19952647
158,0.1992151
159,0.19890371
160,0.19859232
161,0.19861248
162,0.19863264
163,0.1986528
164,0.19867297
165,0.19869313
166,0.19982475
167,0.20095639
168,0.20208801
169,0.20321965
170,0.20435128
171,0.20403342
172,0.20371556
173,0.2033977
174,0.20307985
175,0.202762
176,0.20260115
177,0.2024403
178,0.20227948
179,0.20211864
180,0.20195779
181,0.20256235
182,0.2031669
183,0.20377146
184,0.20437601
185,0.20498057
186,0.20577289
187,0.20656522
188,0.20735756
189,0.20814988
190,0.2089422
191,0.2088645
192,0.2087868
193,0.20870909
194,0.2086314
195,0.20855369
196,0.20854686
197,0.20854004
198,0.20853321
199,0.20852639
200,0.20851956
201,0.20805891
202,0.20759825
203,0.20713761
204,0.20667696
205,0.2062163
206,0.20561603
207,0.20501575
208,0.20441549
209,0.2038152
210,0.20321493
211,0.20294185
212,0.20266877
213,0.2023957
214,0.20212263
215,0.20184955
216,0.20130287
217,0.20075619
218,0.2002095
219,0.19966282
220,0.19911614
221,0.19917282
222,0.19922952
223,0.19928621
224,0.1993429
225,0.19939959
226,0.20022257
227,0.20104554
228,0.20186853
229,0.20269151
230,0.20351449
231,0.20430197
232,0.20508945
233,0.20587693
234,0.20666441
235,0.2074519
236,0.20784351
237,0.20823513
238,0.20862675
239,0.20901836
240,0.20940998
241,0.21024893
242,0.2110879
243,0.21192685
244,0.21276581
245,0.21360476
246,0.2142671
247,0.21492945
248,0.2155918
249,0.21625414
250,0.21691649
251,0.21781342
252,0.21871035
253,0.21960726
254,0.2205042
255,0.22140113
256,0.22333518
257,0.22526923
258,0.2272033
259,0.22913735
260,0.2310714
261,0.23260123
262,0.23413107
263,0.2356609
264,0.23719074
265,0.23872057
266,0.2394966
267,0.24027266
268,0.2410487
269,0.24182475
270,0.24260078
271,0.24318531
272,0.24376984
273,0.24435438
274,0.24493891
275,0.24552344
276,0.24546774
277,0.24541204
278,0.24535635
279,0.24530065
280,0.24524495
281,0.24358058
282,0.24191621
283,0.24025184
284,0.23858747
285,0.2369231
286,0.23516093
287,0.23339877
288,0.2316366
289,0.22987443
290,0.22811227
291,0.22667676
292,0.22524126
293,0.22380577
294,0.22237027
295,0.22093476
296,0.2196714
297,0.21840803
298,0.21714465
299,0.21588129
300,0.21461792
301,0.21330082
302,0.21198371
303,0.21066661
304,0.2093495
305,0.2080324
306,0.20750366
307,0.20697492
308,0.2064462
309,0.20591746
310,0.20538872
311,0.20508526
312,0.2047818
313,0.20447835
314,0.20417489
315,0.20387143
316,0.20325066
317,0.20262988
318,0.20200911
319,0.20138833
320,0.20076756
321,0.20027447
322,0.19978137
323,0.19928828
324,0.19879518
325,0.19830209
326,0.1988421
327,0.1993821
328,0.1999221
329,0.2004621
330,0.2010021
331,0.2009877
332,0.20097327
333,0.20095886
334,0.20094444
335,0.20093003
336,0.20101729
337,0.20110455
338,0.20119183
339,0.20127909
340,0.20136635
341,0.20256358
342,0.20376083
343,0.20495807
344,0.20615532
345,0.20735255
346,0.2078069
347,0.20826125
348,0.20871559
349,0.20916994
350,0.20962429
351,0.2095124
352,0.20940052
353,0.20928863
354,0.20917675
355,0.20906486
356,0.2096836
357,0.21030234
358,0.21092108
359,0.21153982
360,0.21215856
361,0.21260731
362,0.21305604
363,0.21350479
364,0.21395352
365,0.21440227
366,0.21373703
367,0.21307178
368,0.21240652
369,0.21174127
370,0.21107602
371,0.21128078
372,0.21148553
373,0.21169029
374,0.21189505
375,0.2120998
376,0.2120989
377,0.21209799
378,0.21209708
379,0.21209617
380,0.21209526
381,0.21143188
382,0.21076849
383,0.21010512
384,0.20944174
385,0.20877835
386,0.2085034
387,0.20822842
388,0.20795347
389,0.2076785
390,0.20740354
391,0.20831677
392,0.20923002
393,0.21014325
394,0.2110565
395,0.21196973
396,0.21293898
397,0.21390823
398,0.21487749
399,0.21584673
400,0.21681598
401,0.21735267
402,0.21788937
403,0.21842605
404,0.21896274
405,0.21949944
406,0.22019365
407,0.22088787
408,0.22158207
409,0.22227629
410,0.2229705
411,0.22385943
412,0.22474836
413,0.2256373
414,0.22652623
415,0.22741516
416,0.22780393
417,0.2281927
418,0.22858149
419,0.22897026
420,0.22935903
421,0.2291061
422,0.22885317
423,0.22860023
424,0.2283473
425,0.22809437
426,0.22832279
427,0.22855122
428,0.22877964
429,0.22900808
430,0.2292365
431,0.22957592
432,0.22991532
433,0.23025474
434,0.23059414
435,0.23093356
436,0.23086949
437,0.2308054
438,0.23074132
439,0.23067723
440,0.23061316
441,0.23015231
442,0.22969146
443,0.22923063
444,0.22876978
445,0.22830893
446,0.22809485
447,0.22788078
448,0.22766669
449,0.22745262
450,0.22723854
451,0.2262679
452,0.22529726
453,0.22432663
454,0.22335598
455,0.22238535
456,0.22179559
457,0.22120583
458,0.22061607
459,0.22002631
460,0.21943656
461,0.21908438
462,0.21873221
463,0.21838005
464,0.21802787
465,0.2176757
466,0.217564
467,0.2174523
468,0.21734059
469,0.21722889
470,0.21711719
471,0.21703367
472,0.21695015
473,0.21686663
474,0.2167831
475,0.21669959
476,0.21717991
477,0.21766023
478,0.21814054
479,0.21862087
480,0.21910119
481,0.2190814
482,0.21906161
483,0.21904182
484,0.21902204
485,0.21900225
486,0.2187552
487,0.21850814
488,0.2182611
489,0.21801403
490,0.21776699
491,0.218216
492,0.218665
493,0.21911402
494,0.21956302
495,0.22001204
496,0.22077124
497,0.22153044
498,0.22228964
499,0.22304884
500,0.22380804
501,0.22370642
502,0.22360481
503,0.22350319
504,0.22340158
505,0.22329997
506,0.2243503
507,0.22540066
508,0.226451
509,0.22750135
510,0.22855169
511,0.22899905
512,0.22944641
513,0.22989377
514,0.23034114
515,0.2307885
516,0.23003553
517,0.22928256
518,0.22852959
519,0.22777662
520,0.22702365
521,0.227001
522,0.22697835
523,0.2269557
524,0.22693305
525,0.2269104
526,0.22675252
527,0.22659464
528,0.22643678
529,0.2262789
530,0.22612102
531,0.22487442
532,0.22362782
533,0.22238122
534,0.22113462
535,0.21988802
536,0.21882527
537,0.21776253
538,0.21669978
539,0.21563704
540,0.21457429
541,0.21418138
542,0.21378846
543,0.21339555
544,0.21300264
545,0.21260972
546,0.21189104
547,0.21117234
548,0.21045366
549,0.20973496
550,0.20901628
551,0.21041924
552,0.2118222
553,0.21322517
554,0.21462813
555,0.21603109
556,0.21791217
557,0.21979326
558,0.22167434
559,0.22355543
560,0.22543651
561,0.22704406
562,0.22865163
563,0.23025918
564,0.23186675
565,0.2334743
566,0.2349957
567,0.23651709
568,0.23803848
569,0.23955987
570,0.24108127
571,0.24241306
572,0.24374485
573,0.24507663
574,0.24640842
575,0.24774021
576,0.24716265
577,0.2465851
578,0.24600753
579,0.24542998
580,0.24485242
581,0.2442237
582,0.24359497
583,0.24296623
584,0.24233751
585,0.24170879
586,0.24149767
587,0.24128655
588,0.24107544
589,0.24086432
590,0.2406532
591,0.24140134
592,0.24214949
593,0.24289761
594,0.24364576
595,0.2443939
596,0.24482594
597,0.24525799
598,0.24569003
599,0.24612208
600,0.24655412
601,0.24729535
602,0.24803656
603,0.24877779
604,0.249519
605,0.25026023
606,0.25032336
607,0.25038648
608,0.25044963
609,0.25051275
610,0.25057587
611,0.24997953
612,0.24938318
613,0.24878684
614,0.24819049
615,0.24759415
616,0.24546583
617,0.24333751
618,0.2412092
619,0.23908088
620,0.23695256
621,0.234459
622,0.23196544
623,0.22947188
624,0.22697832
625,0.22448476
626,0.22228822
627,0.2200917
628,0.21789517
629,0.21569864
630,0.21350211
631,0.21234642
632,0.21119073
633,0.21003506
634,0.20887937
635,0.20772368
636,0.2067335
637,0.20574333
638,0.20475315
639,0.20376298
640,0.2027728
641,0.20264603
642,0.20251925
643,0.20239249
644,0.20226571
645,0.20213895
646,0.2042567
647,0.20637445
648,0.20849222
649,0.21060997
650,0.21272773
651,0.2153721
652,0.21801649
653,0.22066087
654,0.22330526
655,0.22594963
656,0.22753754
657,0.22912546
658,0.23071338
659,0.2323013
660,0.2338892
661,0.23667113
662,0.23945305
663,0.24223498
664,0.24501689
665,0.24779882
666,0.24982579
667,0.25185275
668,0.25387973
669,0.2559067
670,0.25793368
671,0.25820464
672,0.2584756
673,0.25874653
674,0.2590175
675,0.25928846
676,0.25872573
677,0.258163
678,0.25760028
679,0.25703755
680,0.25647482
681,0.25537512
682,0.25427544
683,0.25317574
684,0.25207606
685,0.25097635
686,0.24953318
687,0.24808998
688,0.2466468
689,0.24520361
690,0.24376044
691,0.24211138
692,0.24046232
693,0.23881327
694,0.2371642
695,0.23551515
696,0.2345334
697,0.23355167
698,0.23256992
699,0.23158818
700,0.23060644
701,0.22959524
