frame,score
0,0.08059548
1,0.08059548
2,0.08059548
3,0.08059548
4,0.08059548
5,0.08059548
6,0.085515775
7,0.09043606
8,0.09535636
9,0.10027665
10,0.105196945
11,0.110460095
12,0.115723245
13,0.12098639
14,0.12624954
15,0.13151269
16,0.13136052
17,0.13120835
18,0.13105616
19,0.13090399
20,0.13075182
21,0.13063133
22,0.13051085
23,0.13039036
24,0.13026989
25,0.1301494
26,0.13009126
27,0.13003312
28,0.12997499
29,0.12991685
30,0.12985872
31,0.1304845
32,0.1311103
33,0.13173608
34,0.13236187
35,0.13298766
36,0.13324223
37,0.1334968
38,0.13375139
39,0.13400596
40,0.13426054
41,0.13432951
42,0.1343985
43,0.13446748
44,0.13453647
45,0.13460545
46,0.13467307
47,0.1347407
48,0.1348083
49,0.13487592
50,0.13494354
51,0.13508806
52,0.13523257
53,0.13537706
54,0.13552158
55,0.13566609
56,0.135817
57,0.13596794
58,0.13611886
59,0.1362698
60,0.13642071
61,0.1374121
62,0.1384035
63,0.1393949
64,0.1403863
65,0.14137769
66,0.14366995
67,0.1459622
68,0.14825445
69,0.1505467
70,0.15283896
71,0.1532046
72,0.15357023
73,0.15393588
74,0.15430151
75,0.15466715
76,0.15505645
77,0.15544572
78,0.15583502
79,0.1562243
80,0.15661359
81,0.15689926
82,0.15718491
83,0.15747058
84,0.15775624
85,0.15804191
86,0.15745375
87,0.15686557
88,0.1562774
89,0.15568922
90,0.15510106
91,0.15336774
92,0.15163441
93,0.14990109
94,0.14816776
95,0.14643444
96,0.14644308
97,0.14645173
98,0.14646035
99,0.146469
100,0.14647764
101,0.14585713
102,0.14523663
103,0.14461611
104,0.14399561
105,0.1433751
106,0.14254224
107,0.14170939
108,0.14087653
109,0.14004368
110,0.13921082
111,0.13861878
112,0.13802673
113,0.13743469
114,0.13684264
115,0.1362506
116,0.13577597
117,0.13530135
118,0.13482672
119,0.1343521
120,0.13387747
121,0.13355218
122,0.13322689
123,0.13290158
124,0.13257629
125,0.132251
126,0.1320612
127,0.1318714
128,0.1316816
129,0.13149181
130,0.13130201
131,0.13116021
132,0.1310184
133,0.1308766
134,0.13073479
135,0.13059299
136,0.13025498
137,0.12991697
138,0.12957896
139,0.12924094
140,0.12890294
141,0.12850991
142,0.12811686
143,0.12772383
144,0.12733078
145,0.12693775
146,0.12643857
147,0.1259394
148,0.12544021
149,0.124941036
150,0.12444186
151,0.12431556
152,0.12418926
153,0.12406295
154,0.123936646
155,0.12381034
156,0.12345687
157,0.1231034
158,0.122749925
159,0.122396454
160,0.122042984
161,0.117052086
162,0.112061195
163,0.1070703
164,0.10207941
165,0.09708851
166,0.092083246
167,0.08707798
168,0.08207273
169,0.077067465
170,0.0720622
171,0.0720622
172,0.0720622
173,0.0720622
174,0.0720622
175,0.0720622
