frame,score
0,0.10544716
1,0.10544716
2,0.10544716
3,0.10544716
4,0.10544716
5,0.10544716
6,0.111833304
7,0.11821944
8,0.12460559
9,0.13099173
10,0.13737787
11,0.14343338
12,0.14948888
13,0.15554439
14,0.16159989
15,0.1676554
16,0.16658175
17,0.16550812
18,0.16443448
19,0.16336085
20,0.1622872
21,0.16254745
22,0.16280772
23,0.16306797
24,0.16332823
25,0.16358848
26,0.16370389
27,0.1638193
28,0.16393471
29,0.16405012
30,0.16416553
31,0.16470045
32,0.16523537
33,0.16577029
34,0.16630521
35,0.16684014
36,0.16814841
37,0.16945668
38,0.17076495
39,0.17207322
40,0.17338149
41,0.17400149
42,0.1746215
43,0.17524149
44,0.1758615
45,0.17648149
46,0.17805783
47,0.17963418
48,0.18121053
49,0.18278688
50,0.18436323
51,0.18629043
52,0.18821764
53,0.19014484
54,0.19207205
55,0.19399925
56,0.19345348
57,0.1929077
58,0.19236192
59,0.19181615
60,0.19127038
61,0.19021182
62,0.18915327
63,0.1880947
64,0.18703616
65,0.1859776
66,0.18535708
67,0.18473655
68,0.18411604
69,0.1834955
70,0.18287499
71,0.1821003
72,0.1813256
73,0.18055089
74,0.17977619
75,0.1790015
76,0.17740947
77,0.17581746
78,0.17422543
79,0.17263342
80,0.1710414
81,0.1712926
82,0.17154379
83,0.171795
84,0.17204618
85,0.17229739
86,0.17273436
87,0.17317134
88,0.17360833
89,0.17404531
90,0.17448229
91,0.17389938
92,0.17331648
93,0.17273356
94,0.17215066
95,0.17156775
96,0.1709659
97,0.17036404
98,0.1697622
99,0.16916034
100,0.16855848
101,0.16764392
102,0.16672938
103,0.16581482
104,0.16490027
105,0.16398571
106,0.1636088
107,0.1632319
108,0.16285497
109,0.16247806
110,0.16210115
111,0.16173665
112,0.16137215
113,0.16100767
114,0.16064318
115,0.16027868
116,0.16042663
117,0.16057459
118,0.16072252
119,0.16087048
120,0.16101843
121,0.16005312
122,0.1590878
123,0.1581225
124,0.15715718
125,0.15619187
126,0.15571602
127,0.15524016
128,0.15476431
129,0.15428846
130,0.1538126
131,0.15280826
132,0.15180393
133,0.15079959
134,0.14979525
135,0.14879091
136,0.1475687
137,0.14634651
138,0.1451243
139,0.14390211
140,0.1426799
141,0.14112554
142,0.1395712
143,0.13801685
144,0.13646251
145,0.13490815
146,0.13409823
147,0.1332883
148,0.13247837
149,0.13166843
150,0.13085851
151,0.1306033
152,0.1303481
153,0.13009289
154,0.12983769
155,0.12958248
156,0.12947713
157,0.12937178
158,0.12926643
159,0.12916107
160,0.12905572
161,0.12901275
162,0.12896976
163,0.12892678
164,0.1288838
165,0.12884082
166,0.12892613
167,0.12901144
168,0.12909676
169,0.12918207
170,0.12926738
171,0.12911643
172,0.1289655
173,0.12881455
174,0.12866361
175,0.12851267
176,0.128415
177,0.12831734
178,0.12821968
179,0.12812202
180,0.12802435
181,0.12789601
182,0.12776767
183,0.12763932
184,0.12751098
185,0.12738264
186,0.12732275
187,0.12726286
188,0.12720297
189,0.12714309
190,0.1270832
191,0.12709986
192,0.12711653
193,0.12713319
194,0.12714987
195,0.12716652
196,0.12720843
197,0.12725033
198,0.12729222
199,0.12733412
200,0.12737602
201,0.12767881
202,0.12798159
203,0.12828438
204,0.12858716
205,0.12888995
206,0.12919778
207,0.1295056
208,0.12981342
209,0.13012125
210,0.13042907
211,0.13099155
212,0.13155402
213,0.13211651
214,0.13267899
215,0.13324146
216,0.13339904
217,0.13355662
218,0.13371418
219,0.13387176
220,0.13402934
221,0.13415746
222,0.13428557
223,0.13441369
224,0.1345418
225,0.13466991
226,0.13458236
227,0.1344948
228,0.13440722
229,0.13431966
230,0.1342321
231,0.134181
232,0.13412988
233,0.13407879
234,0.13402767
235,0.13397656
236,0.13373809
237,0.1334996
238,0.13326111
239,0.13302264
240,0.13278416
241,0.13301562
242,0.13324708
243,0.13347855
244,0.13371001
245,0.13394147
246,0.13423604
247,0.1345306
248,0.13482516
249,0.13511972
250,0.13541429
251,0.13570213
252,0.13598998
253,0.13627784
254,0.13656569
255,0.13685353
256,0.1372322
257,0.13761088
258,0.13798955
259,0.13836823
260,0.1387469
261,0.13865048
262,0.13855407
263,0.13845764
264,0.13836123
265,0.1382648
266,0.13827811
267,0.13829142
268,0.13830471
269,0.13831802
270,0.13833132
271,0.13820969
272,0.13808805
273,0.1379664
274,0.13784476
275,0.13772312
276,0.13751023
277,0.13729732
278,0.13708442
279,0.13687152
280,0.13665862
281,0.13658012
282,0.13650163
283,0.13642314
284,0.13634464
285,0.13626614
286,0.13683918
287,0.13741222
288,0.13798527
289,0.13855831
290,0.13913135
291,0.13974516
292,0.14035897
293,0.14097278
294,0.14158659
295,0.1422004
296,0.14320278
297,0.14420517
298,0.14520757
299,0.14620996
300,0.14721234
301,0.14771287
302,0.1482134
303,0.14871395
304,0.14921448
305,0.149715
306,0.15010639
307,0.15049778
308,0.15088916
309,0.15128055
310,0.15167193
311,0.15193038
312,0.15218882
313,0.15244727
314,0.15270571
315,0.15296416
316,0.15294552
317,0.15292688
318,0.15290822
319,0.15288958
320,0.15287094
321,0.15260728
322,0.15234362
323,0.15207994
324,0.15181628
325,0.15155262
326,0.1518815
327,0.1522104
328,0.15253928
329,0.15286818
330,0.15319706
331,0.15357488
332,0.1539527
333,0.15433054
334,0.15470836
335,0.15508617
336,0.15526836
337,0.15545052
338,0.1556327
339,0.15581487
340,0.15599705
341,0.15620576
342,0.15641446
343,0.15662317
344,0.15683188
345,0.15704058
346,0.15736121
347,0.15768184
348,0.15800245
349,0.15832308
350,0.15864371
351,0.15886761
352,0.15909153
353,0.15931544
354,0.15953936
355,0.15976326
356,0.15993963
357,0.160116
358,0.16029237
359,0.16046874
360,0.16064511
361,0.16109926
362,0.1615534
363,0.16200753
364,0.16246167
365,0.16291581
366,0.1565613
367,0.15020677
368,0.14385226
369,0.13749774
370,0.13114323
371,0.1246496
372,0.11815597
373,0.111662336
374,0.10516871
375,0.09867508
376,0.09867508
377,0.09867508
378,0.09867508
379,0.09867508
380,0.09867508
381,0.09867508
